origin_port,grid_id,grid_center_lon,grid_center_lat,energy_type,emission_standard,type,trip_count,vehicle_count_x
外1,G5_2707_729,121.60943158768023,31.11351485908563,柴油,国五,集卡,6,6
外1,G5_2708_731,121.65434735188619,31.190392523736996,柴油,国五,集卡,6,6
外2,G5_2705_736,121.51960005926826,31.382313508724522,柴油,国四,集卡,6,5
外6,G5_2703_728,121.42976853085631,31.075052655406168,其他,未知,未知,6,3
外2,G5_2702_726,121.38485276665034,30.99808156047971,柴油,国六,集卡,6,6
外2,G5_2704_721,121.47468429506229,30.805381997457314,柴油,国五,集卡,6,6
外2,G5_2703_736,121.42976853085631,31.382313508724522,其他,未知,未知,6,5
外4,G5_2700_727,121.2950212382384,31.036574885517357,柴油,国六,集卡,6,6
外2,G5_2708_732,121.65434735188619,31.228807962750448,柴油,国六,集卡,6,6
外2,G5_2701_738,121.33993700244436,31.45897240388786,柴油,国五,集卡,6,6
外2,G5_2701_735,121.33993700244436,31.343960575473936,柴油,国六,集卡,6,1
外5,G5_2708_733,121.65434735188619,31.267207791637656,柴油,国五,集卡,6,5
外4,G5_2701_721,121.33993700244436,30.805381997457314,柴油,国六,集卡,6,5
外4,G5_2711_723,121.78909464450413,30.882508365567617,其他,未知,未知,6,6
外4,G5_2701_738,121.33993700244436,31.45897240388786,柴油,国六,集卡,6,5
外4,G5_2702_721,121.38485276665034,30.805381997457314,柴油,国五,集卡,6,5
外5,G5_2706_734,121.56451582347424,31.30559199950064,柴油,国四,普通货车,6,2
外1,G5_2703_736,121.42976853085631,31.382313508724522,柴油,国四,集卡,6,3
外4,G5_2709_727,121.69926311609218,31.036574885517357,其他,未知,未知,6,2
外4,G5_2709_731,121.69926311609218,31.190392523736996,柴油,国五,集卡,6,4
外2,G5_2697_737,121.16027394562046,31.420650788451876,柴油,国五,集卡,6,6
外2,G5_2709_732,121.69926311609218,31.228807962750448,柴油,国六,集卡,6,6
外4,G5_2711_724,121.78909464450413,30.921048289362904,柴油,国五,集卡,6,6
外4,G5_2711_724,121.78909464450413,30.921048289362904,柴油,国六,集卡,6,4
外4,G5_2701_735,121.33993700244436,31.343960575473936,柴油,国六,集卡,6,6
外4,G5_2701_726,121.33993700244436,30.99808156047971,柴油,国六,集卡,6,4
外4,G5_2712_727,121.83401040871009,31.036574885517357,柴油,国五,集卡,6,6
外2,G5_2709_733,121.69926311609218,31.267207791637656,其他,未知,未知,6,5
外4,G5_2703_722,121.42976853085631,30.843952931191293,柴油,国六,集卡,6,6
外2,G5_2703_736,121.42976853085631,31.382313508724522,柴油,国四,集卡,6,5
外4,G5_2699_734,121.25010547403241,31.30559199950064,柴油,国五,集卡,6,6
外4,G5_2702_739,121.38485276665034,31.497278344296827,柴油,国六,集卡,6,6
外4,G5_2697_727,121.16027394562046,31.036574885517357,柴油,国五,集卡,6,6
外4,G5_2710_726,121.74417888029814,30.99808156047971,柴油,国五,集卡,6,5
外4,G5_2710_727,121.74417888029814,31.036574885517357,柴油,国六,集卡,6,6
外4,G5_2702_738,121.38485276665034,31.45897240388786,柴油,国四,集卡,6,6
外6,G5_2707_737,121.60943158768023,31.420650788451876,柴油,国五,集卡,6,2
外1,G5_2701_735,121.33993700244436,31.343960575473936,柴油,国五,集卡,6,6
外4,G5_2704_735,121.47468429506229,31.343960575473936,柴油,国六,普通货车,6,4
外4,G5_2697_731,121.16027394562046,31.190392523736996,柴油,国五,集卡,6,6
外6,G5_2707_740,121.60943158768023,31.535568598975548,柴油,国五,集卡,6,1
外2,G5_2712_724,121.83401040871009,30.921048289362904,柴油,国五,集卡,6,6
外2,G5_2713_725,121.87892617291608,30.959572691386352,柴油,国六,集卡,6,6
外2,G5_2712_726,121.83401040871009,30.99808156047971,柴油,国五,集卡,6,4
外2,G5_2712_724,121.83401040871009,30.921048289362904,柴油,国六,集卡,5,5
外2,G5_2712_728,121.83401040871009,31.075052655406168,柴油,国五,集卡,5,4
外2,G5_2712_724,121.83401040871009,30.921048289362904,电动,新能源,未知,5,5
外1,G5_2702_738,121.38485276665034,31.45897240388786,柴油,国六,集卡,5,4
外6,G5_2712_727,121.83401040871009,31.036574885517357,柴油,国五,普通货车,5,1
外2,G5_2706_733,121.56451582347424,31.267207791637656,柴油,国六,集卡,5,3
外2,G5_2705_735,121.51960005926826,31.343960575473936,柴油,国四,集卡,5,5
外6,G5_2706_734,121.56451582347424,31.30559199950064,柴油,国五,普通货车,5,5
外4,G5_2702_738,121.38485276665034,31.45897240388786,其他,未知,未知,5,3
外4,G5_2703_720,121.42976853085631,30.76679557562169,柴油,国五,集卡,5,4
外2,G5_2703_737,121.42976853085631,31.420650788451876,柴油,国五,集卡,5,4
外4,G5_2704_726,121.47468429506229,30.99808156047971,柴油,国五,集卡,5,5
外6,G5_2711_734,121.78909464450413,31.30559199950064,柴油,国六,集卡,5,4
外2,G5_2705_736,121.51960005926826,31.382313508724522,其他,未知,未知,5,5
外1,G5_2702_736,121.38485276665034,31.382313508724522,柴油,国四,集卡,5,5
外5,G5_2710_723,121.74417888029814,30.882508365567617,柴油,国五,集卡,5,5
外2,G5_2710_730,121.74417888029814,31.151961485527742,柴油,国六,集卡,5,4
外4,G5_2707_726,121.60943158768023,30.99808156047971,柴油,国五,集卡,5,5
外4,G5_2707_733,121.60943158768023,31.267207791637656,其他,未知,未知,5,3
外4,G5_2707_732,121.60943158768023,31.228807962750448,柴油,国五,集卡,5,4
外4,G5_2707_734,121.60943158768023,31.30559199950064,其他,未知,未知,5,3
外4,G5_2709_732,121.69926311609218,31.228807962750448,柴油,国六,集卡,5,4
外2,G5_2707_734,121.60943158768023,31.30559199950064,柴油,国六,集卡,5,5
外2,G5_2708_726,121.65434735188619,30.99808156047971,柴油,国六,集卡,5,4
外2,G5_2708_733,121.65434735188619,31.267207791637656,柴油,国四,集卡,5,4
外1,G5_2708_732,121.65434735188619,31.228807962750448,柴油,国六,集卡,5,5
外1,G5_2708_731,121.65434735188619,31.190392523736996,其他,未知,未知,5,3
外2,G5_2709_730,121.69926311609218,31.151961485527742,柴油,国五,集卡,5,5
外4,G5_2711_729,121.78909464450413,31.11351485908563,柴油,国五,集卡,5,4
外2,G5_2701_727,121.33993700244436,31.036574885517357,柴油,国五,集卡,5,5
外5,G5_2708_732,121.65434735188619,31.228807962750448,柴油,国五,集卡,5,5
外2,G5_2710_731,121.74417888029814,31.190392523736996,柴油,国六,集卡,5,3
外4,G5_2710_724,121.74417888029814,30.921048289362904,其他,未知,未知,5,3
外2,G5_2710_724,121.74417888029814,30.921048289362904,其他,未知,未知,5,4
外2,G5_2710_723,121.74417888029814,30.882508365567617,柴油,国六,集卡,5,5
外4,G5_2708_731,121.65434735188619,31.190392523736996,柴油,国六,集卡,5,3
外4,G5_2708_732,121.65434735188619,31.228807962750448,其他,未知,未知,5,5
外4,G5_2698_732,121.20518970982643,31.228807962750448,柴油,国五,集卡,5,4
外6,G5_2709_736,121.69926311609218,31.382313508724522,柴油,国五,渣土,5,4
外6,G5_2709_736,121.69926311609218,31.382313508724522,柴油,国六,集卡,5,4
外6,G5_2709_736,121.69926311609218,31.382313508724522,其他,未知,未知,5,4
外6,G5_2710_723,121.74417888029814,30.882508365567617,柴油,国五,集卡,5,4
外1,G5_2700_733,121.2950212382384,31.267207791637656,柴油,国五,集卡,5,3
外1,G5_2702_737,121.38485276665034,31.420650788451876,柴油,国五,集卡,5,4
外2,G5_2701_723,121.33993700244436,30.882508365567617,柴油,国五,集卡,5,4
外2,G5_2701_737,121.33993700244436,31.420650788451876,柴油,国五,集卡,5,5
外1,G5_2705_736,121.51960005926826,31.382313508724522,柴油,国四,集卡,5,3
外1,G5_2702_738,121.38485276665034,31.45897240388786,其他,未知,未知,5,5
